CTYNAME,YEAR,TOT_POP,Not Hisp pop,NH Whites,NH Afr Am,NH Am Indian/Native,NH Asian,NH Native Hawaiian/other,NH Two or more,Hispanic,,,,,,,,,,,,
Adams County,2010,443698,274761,236556,12358,2503,15677,492,7175,168937, ,,,,,,,,,,,
Adams County,2011,452203,278595,238960,12655,2638,16234,560,7548,173608,,,,,,,,,,,,
Adams County,2012,460648,283363,242311,13009,2622,16911,595,7915,177285,,,,,,,,,,,,
Adams County,2013,470145,288279,245356,13767,2682,17555,605,8314,181866,,,,,,,,,,,,
Adams County,2014,480263,293404,248750,14354,2765,18221,650,8664,186859,,,,,,,,,,,,
Adams County,2015,490768,297950,251456,14931,2866,19007,614,9076,192818,,,,,,,,,,,,
Adams County,2016,498249,300524,252427,15577,2954,19495,627,9444,197725,,,,,,,,,,,,
Adams County,2017,504428,302480,252977,15967,3009,20050,666,9811,201948,,,,,,,,,,,,
Adams County,2018,511868,304823,253905,16321,3023,20795,654,10125,207045,,,,,,,,,,,,
Alamosa County,2010,15932,8664,7954,170,155,139,7,239,7268,,,,,,,,,,,,
Alamosa County,2011,16122,8686,7948,161,171,149,9,248,7436,,,,,,,,,,,,
Alamosa County,2012,16095,8811,8068,174,174,133,11,251,7284,,,,,,,,,,,,
Alamosa County,2013,16203,8834,8056,180,173,144,11,270,7369,,,,,,,,,,,,
Alamosa County,2014,16220,8814,7993,185,190,157,13,276,7406,,,,,,,,,,,,
Alamosa County,2015,16314,8794,7950,200,196,153,12,283,7520,,,,,,,,,,,,
Alamosa County,2016,16461,8879,7997,204,225,156,12,285,7582,,,,,,,,,,,,
Alamosa County,2017,16543,8984,8053,208,237,165,11,310,7559,,,,,,,,,,,,
Alamosa County,2018,16683,9041,8065,219,255,169,10,323,7642,,,,,,,,,,,,
Arapahoe County,2010,574762,468815,364164,56439,2421,29182,1067,15542,105947,,,,,,,,,,,,
Arapahoe County,2011,585844,476866,369317,57577,2419,30281,1061,16211,108978,,,,,,,,,,,,
Arapahoe County,2012,596343,485863,374619,59345,2486,31562,1038,16813,110480,,,,,,,,,,,,
Arapahoe County,2013,608209,494959,379500,61160,2535,33095,1128,17541,113250,,,,,,,,,,,,
Arapahoe County,2014,618798,502980,383576,63107,2583,34433,1192,18089,115818,,,,,,,,,,,,
Arapahoe County,2015,630637,511985,387308,64978,2676,36658,1358,19007,118652,,,,,,,,,,,,
Arapahoe County,2016,638571,517306,389042,66453,2754,38215,1427,19415,121265,,,,,,,,,,,,
Arapahoe County,2017,644132,520005,388915,67340,2824,39404,1456,20066,124127,,,,,,,,,,,,
Arapahoe County,2018,651215,524304,390078,68474,2890,40799,1500,20563,126911,,,,,,,,,,,,
Archuleta County,2010,12046,9907,9446,34,168,87,4,168,2139,,,,,,,,,,,,
Archuleta County,2011,12022,9808,9331,37,167,89,7,177,2214,,,,,,,,,,,,
Archuleta County,2012,12133,9931,9432,42,164,101,5,187,2202,,,,,,,,,,,,
Archuleta County,2013,12218,9967,9431,42,167,103,6,218,2251,,,,,,,,,,,,
Archuleta County,2014,12233,9941,9413,49,167,98,9,205,2292,,,,,,,,,,,,
Archuleta County,2015,12393,10070,9502,52,191,103,9,213,2323,,,,,,,,,,,,
Archuleta County,2016,12832,10528,9879,69,220,117,9,234,2304,,,,,,,,,,,,
Archuleta County,2017,13317,10895,10226,67,224,120,9,249,2422,,,,,,,,,,,,
Archuleta County,2018,13765,11254,10572,83,217,131,10,241,2511,,,,,,,,,,,,
Baca County,2010,3807,3458,3341,20,42,6,0,49,349,,,,,,,,,,,,
Baca County,2011,3777,3431,3313,21,40,7,0,50,346,,,,,,,,,,,,
Baca County,2012,3722,3367,3246,22,40,8,0,51,355,,,,,,,,,,,,
Baca County,2013,3656,3294,3162,21,44,11,0,56,362,,,,,,,,,,,,
Baca County,2014,3587,3216,3078,22,47,11,0,58,371,,,,,,,,,,,,
Baca County,2015,3553,3184,3047,24,47,11,0,55,369,,,,,,,,,,,,
Baca County,2016,3528,3149,3009,23,48,11,0,58,379,,,,,,,,,,,,
Baca County,2017,3563,3171,3027,24,43,13,0,64,392,,,,,,,,,,,,
Baca County,2018,3585,3190,3029,27,48,13,0,73,395,,,,,,,,,,,,
Bent County,2010,6500,4519,3833,491,97,58,4,36,1981,,,,,,,,,,,,
Bent County,2011,6339,4383,3717,468,96,63,4,35,1956,,,,,,,,,,,,
Bent County,2012,5827,4008,3443,377,78,66,6,38,1819,,,,,,,,,,,,
Bent County,2013,5746,3936,3353,379,84,71,6,43,1810,,,,,,,,,,,,
Bent County,2014,5784,3938,3310,424,83,72,6,43,1846,,,,,,,,,,,,
Bent County,2015,5879,4026,3377,434,87,73,6,49,1853,,,,,,,,,,,,
Bent County,2016,5645,3835,3239,392,81,69,5,49,1810,,,,,,,,,,,,
Bent County,2017,5857,3961,3298,451,91,68,5,48,1896,,,,,,,,,,,,
Bent County,2018,5882,4000,3327,447,94,72,5,55,1882,,,,,,,,,,,,
Boulder County,2010,295774,256282,234824,2309,1130,12258,166,5595,39492,,,,,,,,,,,,
Boulder County,2011,300897,260214,237874,2409,1161,12788,166,5816,40683,,,,,,,,,,,,
Boulder County,2012,305565,264081,241097,2504,1163,13124,170,6023,41484,,,,,,,,,,,,
Boulder County,2013,310247,267912,243964,2653,1191,13636,168,6300,42335,,,,,,,,,,,,
Boulder County,2014,313298,270562,245776,2775,1166,14164,159,6522,42736,,,,,,,,,,,,
Boulder County,2015,319175,275375,249597,2831,1180,14786,166,6815,43800,,,,,,,,,,,,
Boulder County,2016,322527,278124,251487,2964,1198,15252,173,7050,44403,,,,,,,,,,,,
Boulder County,2017,324073,279051,251872,3053,1212,15565,166,7183,45022,,,,,,,,,,,,
